id,ACS11_5yr_B01003001
g48453001745,148.484848485
g48453001766,424.848484848
g48453002421,355.151515152
g48453002423,552.727272727
g48453002314,422.424242424
g48453001748,246.060606061
g48453001912,244.848484848
g48453001752,273.333333333
g48453001760,592.121212121
g48453001742,367.878787879
g48453001847,347.878787879
g48453001848,236.96969697
g48453001755,153.939393939
g48453001756,204.242424242
g48453001764,356.96969697
g48453001737,190.909090909
g48453001740,174.545454545
g48453001765,383.03030303
g48453001714,370.303030303
g48453001403,95.7575757576
g48453001733,236.363636364
g48453001769,194.545454545
g48453001768,329.090909091
g48453001722,178.181818182
g48453001761,282.424242424
g48453001751,97.5757575758
g48453001716,163.636363636
g48453001842,367.272727273
g48453001741,225.454545455
g48453001850,283.03030303
g48453001839,303.636363636
g48453001401,158.787878788
g48453002422,298.181818182
g48453002413,269.090909091
g48453002412,257.575757576
g48491020603,316.363636364
g48491021507,463.03030303
g48491020804,276.363636364
g48491020707,347.878787879
g48491020505,102.424242424
g48491020408,242.424242424
g48491020411,361.212121212
g48491020409,244.848484848
g48491020506,415.757575758
g48491020507,244.848484848
g48491020317,249.696969697
g48491020508,256.363636364
g48491020311,145.454545455
g48491020318,267.272727273
g48491020326,239.393939394
g48491020324,266.060606061
g48491020328,203.03030303
g48491020319,316.96969697
g48491020321,173.939393939
g48491020325,315.151515152
g48491020320,358.787878788
g48491020314,408.484848485
g48491020110,166.666666667
g48491020604,290.303030303
g48491020109,271.515151515
g48491021601,215.757575758
g48491020803,399.393939394
g48491020805,355.151515152
g48491020202,246.666666667
g48491020204,390.303030303
g48491020112,206.060606061
g48491021602,312.727272727
g48491021603,132.121212121
g48491020106,193.939393939
g48491020114,486.060606061
g48491020108,151.515151515
g48491020406,338.181818182
g48491020405,294.545454545
g48491020504,497.575757576
g48491020701,258.181818182
g48491020602,340.0
g48491020704,238.181818182
g48491021502,278.181818182
g48491021503,276.96969697
g48491020403,149.090909091
g48491021203,299.393939394
g48491020503,194.545454545
g48491020302,228.484848485
g48491021000,201.818181818
g48491021401,404.848484848
g48491021201,162.424242424
g48491021100,258.787878788
g48491020404,156.96969697
g48491021202,205.454545455
g48491020703,512.121212121
g48491021403,269.090909091
g48491020310,73.9393939394
g48491020900,229.696969697
g48491021300,213.939393939
g48491021402,318.181818182
g48491020301,350.303030303
g48491020113,180.0
g48491020509,240.0
g48491020605,271.515151515
g48491020312,299.393939394
g48491020410,301.818181818
g48491020316,294.545454545
g48491020323,162.424242424
g48491020327,195.757575758
g48491020322,269.090909091
g48491020313,390.303030303
g48491020315,385.454545455
g48491020510,336.96969697
g48491020708,447.272727273
g48491020706,256.96969697
g48491021505,307.878787879
g48491020807,246.060606061
g48491020809,290.909090909
g48491020115,200.606060606
g48491020111,180.0
g48491020105,246.666666667
g48491020203,183.636363636
g48491020201,132.727272727
g48491020107,212.727272727
g48491021508,593.939393939
g48491020808,227.272727273
g48491021506,255.757575758
g48491020806,191.515151515
g48491021504,449.090909091
g48021950501,430.303030303
g48021950801,592.121212121
g48021950802,586.666666667
g48021950502,438.787878788
g48021950700,163.636363636
g48021950600,350.909090909
g48021950200,252.727272727
g48021950100,606.060606061
g48021950300,543.03030303
g48021950400,500.606060606
g48055960102,329.090909091
g48055960101,485.454545455
g48055960500,427.272727273
g48055960700,136.96969697
g48055960600,230.303030303
g48055960400,253.333333333
g48055960300,232.121212121
g48055960200,291.515151515
