id,ACS11_5yr_B08101009,ACS11_5yr_B08101001,ACS11_5yr_B08101025,ACS11_5yr_B08101001
g48453001764,158.181818182,195.757575758,4.24242424242,195.757575758
g48453001737,174.545454545,146.060606061,15.7575757576,146.060606061
g48453001740,113.939393939,108.484848485,15.7575757576,108.484848485
g48453001765,307.878787879,301.818181818,15.1515151515,301.818181818
g48453001714,238.181818182,315.151515152,0.0,315.151515152
g48453001403,84.2424242424,93.3333333333,14.5454545455,93.3333333333
g48453001733,123.636363636,147.878787879,15.1515151515,147.878787879
g48453001769,143.03030303,131.515151515,53.3333333333,131.515151515
g48453001768,155.757575758,217.575757576,0.0,217.575757576
g48453001722,192.121212121,177.575757576,81.2121212121,177.575757576
g48453001761,201.212121212,191.515151515,9.69696969697,191.515151515
g48453001751,81.8181818182,84.8484848485,0.0,84.8484848485
g48453001716,153.333333333,169.090909091,27.8787878788,169.090909091
g48453001842,170.303030303,200.606060606,23.0303030303,200.606060606
g48453001741,125.454545455,124.848484848,0.0,124.848484848
g48453001850,147.878787879,158.181818182,42.4242424242,158.181818182
g48453001839,210.303030303,227.878787879,37.5757575758,227.878787879
g48453001401,123.636363636,143.636363636,47.2727272727,143.636363636
g48453002422,151.515151515,163.03030303,65.4545454545,163.03030303
g48453002413,95.1515151515,140.0,10.9090909091,140.0
g48453002412,146.060606061,147.272727273,31.5151515152,147.272727273
g48491020603,147.878787879,145.454545455,0.0,145.454545455
g48491021507,297.575757576,313.333333333,0.0,313.333333333
g48491020804,175.151515152,163.03030303,0.0,163.03030303
g48491020707,141.818181818,158.181818182,14.5454545455,158.181818182
g48491020505,101.818181818,89.0909090909,18.1818181818,89.0909090909
g48491020408,191.515151515,192.727272727,0.0,192.727272727
g48491020411,241.818181818,216.96969697,18.7878787879,216.96969697
g48491020409,184.848484848,201.818181818,23.0303030303,201.818181818
g48491020506,181.212121212,173.939393939,0.0,173.939393939
g48491020507,144.242424242,154.545454545,0.0,154.545454545
g48491020317,146.666666667,162.424242424,0.0,162.424242424
g48491020508,170.303030303,188.484848485,37.5757575758,188.484848485
g48491020311,104.848484848,100.0,57.5757575758,100.0
