id,ACS11_5yr_B08101009,ACS11_5yr_B08101001,ACS11_5yr_B08101025,ACS11_5yr_B08101001
g48491020323,1136,1285,24,1285
g48491020327,1010,1331,0,1331
g48491020322,3867,4644,28,4644
g48491020313,3631,4235,0,4235
g48491020315,1163,1566,0,1566
g48491020510,3839,4454,10,4454
g48491020708,2109,3136,0,3136
g48491020706,1717,1890,0,1890
g48491021505,3102,4025,0,4025
g48491020807,2816,3194,14,3194
g48491020809,2177,2791,0,2791
g48491020115,766,907,0,907
g48491020111,915,1009,0,1009
g48491020105,672,838,0,838
g48491020203,175,225,0,225
g48491020201,480,716,0,716
g48491020107,331,551,0,551
g48491021508,2562,3074,0,3074
g48491020808,644,672,0,672
g48491021506,959,1171,0,1171
g48491020806,751,935,0,935
g48491021504,1854,2122,0,2122
g48021950501,2340,3005,0,3005
g48021950801,1579,2157,0,2157
g48021950802,2421,3036,0,3036
g48021950502,1974,2725,21,2725
g48021950700,1365,1728,0,1728
g48021950600,1473,1733,0,1733
g48021950200,2868,4100,41,4100
g48021950100,3431,4341,0,4341
g48021950300,4455,5551,45,5551
g48021950400,3019,4023,0,4023
g48055960102,1377,1712,0,1712
g48055960101,1642,2136,0,2136
g48055960500,2023,2731,0,2731
g48055960700,1650,2414,69,2414
g48055960600,754,1020,0,1020
g48055960400,1208,1651,1,1651
g48055960300,1232,1677,8,1677
g48055960200,1193,1678,0,1678
