id,ACS11_5yr_B25046001,ACS11_5yr_B01003001,ACS11_5yr_B08013001,ACS11_5yr_B08134001
g48453001714,347.272727273,370.303030303,11945.4545455,273.939393939
g48453001403,98.7878787879,95.7575757576,2148.48484848,93.3333333333
g48453001733,151.515151515,236.363636364,6003.03030303,149.090909091
g48453001769,172.121212121,194.545454545,9459.39393939,143.636363636
g48453001768,301.212121212,329.090909091,5487.27272727,168.484848485
g48453001722,201.212121212,178.181818182,6424.24242424,176.363636364
g48453001761,218.181818182,282.424242424,6537.57575758,206.666666667
g48453001751,93.9393939394,97.5757575758,2053.93939394,85.4545454545
g48453001716,156.363636364,163.636363636,5313.93939394,164.848484848
g48453001842,213.939393939,367.272727273,7341.81818182,200.0
g48453001741,283.03030303,225.454545455,4579.39393939,127.878787879
g48453001850,181.818181818,283.03030303,5426.06060606,156.96969697
g48453001839,245.454545455,303.636363636,6487.87878788,211.515151515
g48453001401,151.515151515,158.787878788,8132.72727273,144.848484848
g48453002422,221.818181818,298.181818182,4959.39393939,162.424242424
g48453002413,130.909090909,269.090909091,6035.15151515,140.0
g48453002412,176.363636364,257.575757576,5410.3030303,145.454545455
g48491020603,239.393939394,316.363636364,5783.03030303,152.727272727
g48491021507,343.03030303,463.03030303,11705.4545455,306.060606061
g48491020804,181.818181818,276.363636364,5256.36363636,171.515151515
g48491020707,178.787878788,347.878787879,5201.81818182,155.757575758
g48491020505,88.4848484848,102.424242424,3869.09090909,97.5757575758
g48491020408,212.121212121,242.424242424,6267.87878788,200.0
g48491020411,215.757575758,361.212121212,7366.66666667,234.545454545
g48491020409,226.060606061,244.848484848,9418.18181818,190.909090909
g48491020506,243.636363636,415.757575758,7056.96969697,176.363636364
g48491020507,165.454545455,244.848484848,4815.15151515,156.96969697
g48491020317,174.545454545,249.696969697,4007.27272727,155.757575758
g48491020508,202.424242424,256.363636364,6975.15151515,169.696969697
g48491020311,123.636363636,145.454545455,4493.93939394,106.060606061
g48491020318,244.848484848,267.272727273,6678.78787879,174.545454545
g48491020326,213.333333333,239.393939394,6962.42424242,153.939393939
g48491020324,170.909090909,266.060606061,5156.36363636,156.363636364
g48491020328,171.515151515,203.03030303,6061.21212121,198.181818182
g48491020319,239.393939394,316.96969697,6124.24242424,163.636363636
g48491020321,109.090909091,173.939393939,4165.45454545,75.7575757576
g48491020325,167.272727273,315.151515152,5498.78787879,164.242424242
g48491020320,250.909090909,358.787878788,6288.48484848,211.515151515
g48491020314,215.757575758,408.484848485,7974.54545455,213.939393939
g48491020110,197.575757576,166.666666667,5121.81818182,110.303030303
g48491020604,172.727272727,290.303030303,8976.36363636,312.727272727
g48491020109,313.939393939,271.515151515,5992.72727273,153.333333333
g48491021601,152.121212121,215.757575758,4724.24242424,138.181818182
g48491020803,330.303030303,399.393939394,4963.63636364,177.575757576
g48491020805,255.757575758,355.151515152,6598.18181818,200.606060606
g48491020202,166.666666667,246.666666667,6010.90909091,164.848484848
g48491020204,287.272727273,390.303030303,9841.81818182,216.96969697
g48491020112,157.575757576,206.060606061,6528.48484848,161.212121212
g48491021602,184.242424242,312.727272727,6927.87878788,170.303030303
g48491021603,104.242424242,132.121212121,2996.96969697,79.3939393939
g48491020106,200.606060606,193.939393939,5623.03030303,146.666666667
g48491020114,173.333333333,486.060606061,5565.45454545,156.96969697
g48491020108,181.818181818,151.515151515,3104.24242424,124.242424242
g48491020406,223.636363636,338.181818182,7558.78787879,231.515151515
g48491020405,206.060606061,294.545454545,8689.09090909,233.333333333
g48491020504,244.242424242,497.575757576,8632.12121212,245.454545455
g48491020701,150.909090909,258.181818182,2700.60606061,104.242424242
g48491020602,173.939393939,340.0,4347.27272727,214.545454545
g48491020704,180.0,238.181818182,7073.93939394,192.121212121
g48491021502,160.606060606,278.181818182,5249.6969697,165.454545455
g48491021503,170.303030303,276.96969697,8262.42424242,153.939393939
g48491020403,101.818181818,149.090909091,2600.60606061,95.1515151515
g48491021203,140.0,299.393939394,5113.33333333,135.757575758
g48491020503,151.515151515,194.545454545,6192.12121212,134.545454545
g48491020302,148.484848485,228.484848485,2908.48484848,105.454545455
g48491021000,210.303030303,201.818181818,5782.42424242,119.393939394
g48491021401,260.606060606,404.848484848,6928.48484848,250.909090909
g48491021201,141.818181818,162.424242424,5260.60606061,96.3636363636
g48491021100,129.090909091,258.787878788,3435.75757576,114.545454545
g48491020404,126.666666667,156.96969697,3968.48484848,110.303030303
g48491021202,142.424242424,205.454545455,5309.09090909,134.545454545
g48491020703,269.696969697,512.121212121,8740.60606061,230.303030303
g48491021403,175.151515152,269.090909091,7435.75757576,166.060606061
g48491020310,87.8787878788,73.9393939394,3997.57575758,98.7878787879
g48491020900,169.696969697,229.696969697,4815.75757576,118.181818182
